episode_id,prefix_episode_id,task_uid,benchmark,arm,run,plan_run_order,seed,model_call_seed_t1,invocation,attempt,start_utc,fork_t,n_decisions,success,restoration_transcript_hash_matches,restoration_tool_result_reproduced_stored,durable_rows_lost_invocation,durable_rows_recovery_invocation
branch:log:humaneval/21#0:large#1,log:humaneval/21#0,humaneval/21,humaneval,large,1,119,35877457,35877558,0445024c72d2,1,2026-09-20T01:24:59Z,1,2,1,1,1,1,0
branch:log:humaneval/22#7:small#0,log:humaneval/22#7,humaneval/22,humaneval,small,0,120,1025191223,1025191324,0445024c72d2,1,2026-09-20T01:25:00Z,1,3,0,1,1,2,0
branch:log:humaneval/22#7:small#1,log:humaneval/22#7,humaneval/22,humaneval,small,1,121,1244843847,1244843948,0445024c72d2,1,2026-09-20T01:25:08Z,1,3,0,1,1,2,0
branch:log:humaneval/22#7:large#0,log:humaneval/22#7,humaneval/22,humaneval,large,0,122,1350851839,1350851940,0445024c72d2,1,2026-09-20T01:25:08Z,1,2,1,1,1,1,0
branch:log:humaneval/22#7:large#1,log:humaneval/22#7,humaneval/22,humaneval,large,1,123,1878268208,1878268309,0445024c72d2,1,2026-09-20T01:25:14Z,1,2,1,1,1,1,0
branch:log:humaneval/32#5:small#0,log:humaneval/32#5,humaneval/32,humaneval,small,0,124,340127902,340128003,0445024c72d2,1,2026-09-20T01:25:21Z,1,3,0,1,1,2,0
branch:log:humaneval/32#5:small#1,log:humaneval/32#5,humaneval/32,humaneval,small,1,125,84480072,84480173,0445024c72d2,1,2026-09-20T01:25:25Z,1,3,0,1,1,2,0
branch:log:humaneval/32#5:large#0,log:humaneval/32#5,humaneval/32,humaneval,large,0,126,867739491,867739592,0445024c72d2,1,2026-09-20T01:25:28Z,1,2,0,1,1,1,0
branch:log:humaneval/32#5:large#1,log:humaneval/32#5,humaneval/32,humaneval,large,1,127,1279889236,1279889337,0445024c72d2,1,2026-09-20T01:25:38Z,1,2,0,1,1,1,0
branch:log:humaneval/39#2:small#0,log:humaneval/39#2,humaneval/39,humaneval,small,0,128,620521800,620521901,0445024c72d2,1,2026-09-20T01:26:16Z,1,2,1,1,1,1,0
branch:log:humaneval/39#2:small#1,log:humaneval/39#2,humaneval/39,humaneval,small,1,129,1687605235,1687605336,0445024c72d2,1,2026-09-20T01:26:20Z,1,3,0,1,1,2,0
branch:log:humaneval/39#2:large#0,log:humaneval/39#2,humaneval/39,humaneval,large,0,130,1353008745,1353008846,0445024c72d2,1,2026-09-20T01:26:22Z,1,2,0,1,1,1,0
branch:log:humaneval/39#2:large#1,log:humaneval/39#2,humaneval/39,humaneval,large,1,131,1346894627,1346894728,0445024c72d2,1,2026-09-20T01:26:29Z,1,2,0,1,1,1,0
branch:log:humaneval/4#3:small#0,log:humaneval/4#3,humaneval/4,humaneval,small,0,132,308885089,308885190,0445024c72d2,1,2026-09-20T01:26:32Z,1,3,0,1,1,2,0
branch:log:humaneval/4#3:small#1,log:humaneval/4#3,humaneval/4,humaneval,small,1,133,44079565,44079666,0445024c72d2,1,2026-09-20T01:26:45Z,1,2,1,1,1,1,0
branch:log:humaneval/4#3:large#0,log:humaneval/4#3,humaneval/4,humaneval,large,0,134,1977244321,1977244422,8c343c83afdc,1,2026-09-20T02:13:49Z,1,2,1,1,1,1,1
branch:log:humaneval/4#3:large#1,log:humaneval/4#3,humaneval/4,humaneval,large,1,135,135072984,135073085,8c343c83afdc,1,2026-09-20T02:13:49Z,1,2,1,1,1,1,1
branch:log:humaneval/46#3:small#0,log:humaneval/46#3,humaneval/46,humaneval,small,0,136,375059579,375059680,0445024c72d2,1,2026-09-20T01:26:55Z,1,3,0,1,1,2,0
branch:log:humaneval/46#3:small#1,log:humaneval/46#3,humaneval/46,humaneval,small,1,137,1631041470,1631041571,8c343c83afdc,1,2026-09-20T02:13:49Z,1,3,0,1,1,2,2
branch:log:humaneval/46#3:large#0,log:humaneval/46#3,humaneval/46,humaneval,large,0,138,1893765942,1893766043,8c343c83afdc,1,2026-09-20T02:13:49Z,1,3,0,1,1,1,2
branch:log:humaneval/46#3:large#1,log:humaneval/46#3,humaneval/46,humaneval,large,1,139,996515236,996515337,8c343c83afdc,1,2026-09-20T02:13:59Z,1,3,0,1,1,0,2
