horizon,floor,n,policy,dr_rmse_shared_log,onpolicy_rmse_split_budget,rmse_ratio_separate_over_dr
5,0.5,1000,always_large,0.07726045314390746,0.031938139307846725,0.4133827593317096
5,0.5,1000,fixed_switch,0.07256751879289561,0.03215913602073749,0.44316157635922765
5,0.5,1000,failure_escalation,0.08597283514400123,0.036487183269192335,0.42440362944967086
5,0.5,1000,soft_escalation,0.052445778726344636,0.03617578628959067,0.6897749860546699
5,0.5,250,always_small,0.14887801968184866,0.06539337661366822,0.43924131146702133
5,0.5,250,always_large,0.1454342403717646,0.06387627861569345,0.43921072817797546
5,0.5,250,fixed_switch,0.1537732013636066,0.06431827204147499,0.4182671068243569
5,0.5,250,failure_escalation,0.17309781255937617,0.07297436653838467,0.42157879097029566
5,0.5,250,soft_escalation,0.10614763944520185,0.07235157257918134,0.6816126383717883
5,0.5,4000,always_small,0.038595584688939,0.016348344153417054,0.4235806837796729
5,0.5,4000,always_large,0.03780719767294994,0.015969069653923362,0.4223817324961065
5,0.5,4000,fixed_switch,0.037496423374429926,0.016079568010368746,0.4288293805999093
5,0.5,4000,failure_escalation,0.042464000529609074,0.018243591634596167,0.4296248918392739
5,0.5,4000,soft_escalation,0.02595254703446011,0.018087893144795336,0.6969602297908567
10,0.05,1000,always_small,5.7105744083917935,0.03259585321626769,0.005707981524304716
10,0.05,1000,always_large,0.25030563250968074,0.03196426919460308,0.1277009585206471
10,0.05,1000,fixed_switch,0.550219433603299,0.031853942208717935,0.0578931609160214
10,0.05,1000,failure_escalation,0.5892718041630118,0.037918180519420225,0.06434752223259407
10,0.05,1000,soft_escalation,0.21716673150407445,0.03739067924179957,0.17217498731428876
10,0.05,250,always_small,0.7681943857705139,0.06519170643253538,0.08486355490237908
10,0.05,250,always_large,0.3836269824222775,0.06392853838920616,0.16664244518347462
10,0.05,250,fixed_switch,1.0141889220560636,0.06370788441743587,0.06281658479199416
