n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,2,0.05,always_small,correct,known,ipw,0.0005200162001380886,0.0010625961629312896,0.033589461319277356,0.951,0.006826346021115546
1000,2,0.05,always_small,correct,known,gcomp,0.0009759447039080804,0.0007166812450126003,0.022673130419307883,,
1000,2,0.05,always_small,correct,known,dr,0.0009426120199592029,0.0009348065645828431,0.029561427017215546,0.954,0.006624499981130654
1000,2,0.05,always_small,misspecified,known,ipw,0.0005200162001380886,0.0010625961629312896,0.033589461319277356,0.951,0.006826346021115546
1000,2,0.05,always_small,misspecified,known,gcomp,0.09418278426637734,0.0006827434756594243,0.09662333759019573,,
1000,2,0.05,always_small,misspecified,known,dr,0.0015772736038564728,0.0010216857594581407,0.03233087906800402,0.948,0.007021111023192843
1000,2,0.05,always_small,correct,misspecified,ipw,0.15665832559386758,0.001266808748155934,0.1616942502931821,0.02,0.004427188724235731
1000,2,0.05,always_small,correct,misspecified,gcomp,0.0009759447039080804,0.0007166812450126003,0.022673130419307883,,
1000,2,0.05,always_small,correct,misspecified,dr,0.001088800481989368,0.0009060607907001914,0.028658518747091445,0.964,0.005891010100144119
1000,2,0.05,always_small,misspecified,misspecified,ipw,0.15665832559386758,0.001266808748155934,0.1616942502931821,0.02,0.004427188724235731
1000,2,0.05,always_small,misspecified,misspecified,gcomp,0.09418278426637734,0.0006827434756594243,0.09662333759019573,,
1000,2,0.05,always_small,misspecified,misspecified,dr,0.06789985485526263,0.0009034741580912343,0.07366029852064175,0.405,0.015523369479594306
1000,2,0.05,always_large,correct,known,ipw,0.0027844959786778446,0.0021038960088124157,0.06655603244887866,0.957,0.006414904519944161
1000,2,0.05,always_large,correct,known,gcomp,3.892228126133723e-05,0.0006894570702091053,0.021791677667257297,,
1000,2,0.05,always_large,correct,known,dr,-0.0002857550980871184,0.0009998778117809603,0.03160439113207961,0.953,0.00669260786241059
1000,2,0.05,always_large,misspecified,known,ipw,0.0027844959786778446,0.0021038960088124157,0.06655603244887866,0.957,0.006414904519944161
1000,2,0.05,always_large,misspecified,known,gcomp,-0.0721240660627985,0.0006514785901884057,0.07500587200047289,,
1000,2,0.05,always_large,misspecified,known,dr,-0.00010736756861479246,0.0010317840206801874,0.03261173431236727,0.957,0.006414904519944161
1000,2,0.05,always_large,correct,misspecified,ipw,-0.15132449198721656,0.0012252699262488122,0.15620143079039567,0.043,0.006414904519944158
1000,2,0.05,always_large,correct,misspecified,gcomp,3.892228126133723e-05,0.0006894570702091053,0.021791677667257297,,
1000,2,0.05,always_large,correct,misspecified,dr,-0.00044459080238837246,0.000944888222760745,0.029868354503387286,0.934,0.007851369307324675
1000,2,0.05,always_large,misspecified,misspecified,ipw,-0.15132449198721656,0.0012252699262488122,0.15620143079039567,0.043,0.006414904519944158
1000,2,0.05,always_large,misspecified,misspecified,gcomp,-0.0721240660627985,0.0006514785901884057,0.07500587200047289,,
1000,2,0.05,always_large,misspecified,misspecified,dr,-0.04841317931814726,0.000920639009297065,0.05648508246382511,0.617,0.015372410351015223
1000,2,0.05,fixed_switch,correct,known,ipw,-0.0005493383780310246,0.0013896072465314313,0.0439246976536735,0.961,0.006122009474020767
1000,2,0.05,fixed_switch,correct,known,gcomp,0.00030740944501401877,0.0006314573881363163,0.019960816495469075,,
1000,2,0.05,fixed_switch,correct,known,dr,0.000292085387270239,0.0008671601689306715,0.02740985417135136,0.949,0.006956938982052382
1000,2,0.05,fixed_switch,misspecified,known,ipw,-0.0005493383780310246,0.0013896072465314313,0.0439246976536735,0.961,0.006122009474020767
1000,2,0.05,fixed_switch,misspecified,known,gcomp,0.000351260008779904,0.0006514785901884059,0.020594254361694358,,
1000,2,0.05,fixed_switch,misspecified,known,dr,9.893785295234297e-05,0.000878357230308061,0.02776237924438683,0.952,0.006759881655768837
1000,2,0.05,fixed_switch,correct,misspecified,ipw,0.055871594084361834,0.0014407428370379204,0.07207842401219172,0.765,0.013408019988051927
1000,2,0.05,fixed_switch,correct,misspecified,gcomp,0.00030740944501401877,0.0006314573881363163,0.019960816495469075,,
1000,2,0.05,fixed_switch,correct,misspecified,dr,0.0004887145288983622,0.0008649837344096333,0.02734387510619514,0.975,0.004937104414532877
1000,2,0.05,fixed_switch,misspecified,misspecified,ipw,0.055871594084361834,0.0014407428370379204,0.07207842401219172,0.765,0.013408019988051927
1000,2,0.05,fixed_switch,misspecified,misspecified,gcomp,0.000351260008779904,0.0006514785901884059,0.020594254361694358,,
